好	a	女子
剿	cnxz	巛日木刂
濡	cntr	氵⻗而
沓	cnd	水日
沓	cnt	水日
灞	cnum	氵⻗革月
汨	cnm	氵日
汩	cng	氵曰
泖	cnma	氵卯
溻	cnut	氵日羽
没	cof	氵几又
汤	com	氵乙丿丿
江	coj	氵工
益	coy	皿
浓	con	氵农
烫	comv	氵乙丿火
染	cox	氵九木
沿	cok	氵几口
鸿	coe	氵工鸟
劲	coo	ス工力
颈	coc	ス工页
湛	cooz	氵其乙
淇	coq	氵其
澎	cou	氵壴彡
澍	cod	氵壴寸
迳	col	ス工辶
巯	cog	ス工
蠲	cooe	皿罒虫
澉	cojf	氵乙耳攵
澌	coxs	氵其斤
刭	coz	ス工刂
瀵	cob	氵米田八
演	cpqi	氵宀一八
汁	cpz	氵十
润	cpf	氵门王
潮	cpnm	氵十早月
沪	cph	氵户
滨	cpii	氵宀丘八
溶	cpi	氵宀谷
淳	cphc	氵子
澜	cpx	氵门木
滇	cpt	氵十八
淀	cpqg	氵宀一龰
瀚	cpnu	氵十早羽
涧	cpn	氵门日
沱	cpu	氵宀匕
濠	cpuw	氵冖豕
贮	cpq	贝宀一
渲	cpw	氵宀二日
浣	cpwh	氵宀二儿
淙	cpv	氵宀示
泞	cpd	氵宀丁
滓	cpg	氵宀立十
涫	cpb	氵宀㠯
渖	cpns	氵宀申
赋	cqu	贝一弋止
渔	cqy	氵鱼
沛	cqyp	氵一巾
沔	cql	氵一丨乙
满	crw	氵艹两
港	crij	氵龷八巳
洪	cri	氵龷八
灌	crk	氵艹吅隹
泄	cro	氵廿乙
滞	crl	氵艹丨巾
潇	crd	氵艹彐
漠	crn	氵艹日大
泗	crs	氵四
涝	cru	氵艹冖力
漕	crnn	氵艹日日
滢	cruv	氵艹冖丶
沌	crdu	氵屯
潢	crb	氵龷由八
汹	crix	氵乂凵
淆	crf	氵乂月
浠	crfy	氵乂巾
懑	crwj	氵艹两心
潆	cruu	氵艹冖糸
渫	crox	氵廿乙木
漭	crwr	氵艹犬廾
沌	crz	氵屯
水	csh	水
涂	csd	氵人于八
脊	csm	人月
沧	csj	氵人㔾
溯	csms	氵屰月
沦	csu	氵人匕
濮	csr	氵亻业丶
泯	csmi	氵民
赊	csv	贝人示
溆	csdf	氵人于又
浍	csn	氵人云
巛	cshu	巛
氵	cshu	氵
海	cta	氵母
潘	cti	氵禾丷田
沮	ctj	氵且
湫	ctv	氵禾火
浯	ctk	氵五口
潲	ctim	氵禾月
滗	ctu	氵毛
汔	cto	氵乙
沲	ctl	氵也
深	cui	氵冖八木
波	cub	氵皮
索	cus	糸
沈	cuh	氵冖儿
洞	cuq	氵冂一口
沉	cuo	氵冖几
婆	cua	氵皮女
溜	cuv	氵丶田
泼	cup	氵发
泻	cuw	氵冖二乙
浑	cug	氵冖车
柒	cux	氵七木
潍	cue	氵纟隹
沏	cuz	氵七刀
濯	cuez	氵羽隹
泱	cuey	氵冂大
泺	cuil	氵小
溟	cun	氵冖日六
注	cvf	氵丶王
贴	cvk	贝⺊口
淡	cvv	氵火火
浪	cvd	氵丶彐
沾	cvkz	氵⺊口
淑	cvi	氵上小又
泳	cvo	氵丶乙
泸	cvh	氵⺊尸
汴	cvvb	氵丶下
淖	cvn	氵⺊早
沩	cvov	氵丶丶
浈	cvc	氵⺊贝
赕	cvvd	贝火火
瀣	cvm	氵⺊夕一
洗	cwh	氵⺧儿
洋	cwy	氵羊
浩	cwk	氵⺧口
污	cwo	氵二乙
滤	cwj	氵虍心
漾	cwv	氵⺷丶
泷	cwl	氵龙
沅	cwhy	氵二儿
漪	cwe	氵犭大口
涿	cwvz	氵豕丶
漉	cwlu	氵鹿
洹	cwn	氵二日
邋	cwll	巛辶
潴	cwhn	氵犭耂日
浼	cwm	氵免
滹	cwlh	氵虍乎
泷	cws	氵龙
汗	cxh	氵干
湘	cxj	氵木目
渣	cxn	氵木旦
漆	cxs	氵木人氺
淋	cxx	氵木木
濑	cxk	氵木口贝
沫	cxmo	氵末
沐	cxm	氵木
沂	cxy	氵斤
漱	cxka	氵木口欠
淞	cxij	氵木八厶
淅	cxxx	氵木斤
沭	cxv	氵木丶
涞	cxi	氵未丷
涑	cxks	氵木口
潸	cxxm	氵木木月
漤	cxxa	氵木木女
游	cyt	氵方子
酒	cyq	氵西一
济	cyr	氵亠乂
页	cye	页
滴	cyi	氵亠丷古
液	cysv	氵亠亻丶
漂	cyv	氵覀示
潭	cyn	氵覀早
洒	cys	氵西
汶	cyrw	氵亠乂
淤	cysn	氵方人⺀
浏	cyrz	氵亠乂刂
溧	cyx	氵覀木
漩	cytg	氵方龰
淬	cysp	氵亠人十
泫	cyu	氵亠幺
沆	cyo	氵亠几
湮	cyb	氵覀土
澶	cyk	氵亠回旦
则	czz	贝刂
涨	czm	氵弓丿丶
梁	czix	氵刀八木
浅	czq	氵戋
浇	czh	氵⺎
贼	czf	贝戈
贱	czj	贝戋
沼	czk	氵刀口
涩	czv	氵刀丶止
沸	czi	氵弓
泓	czjh	氵弓厶
溺	czn	氵弓冫冫
淦	czg	氵金
粱	czio	氵刀八米
换	dau	扌⺈冂大
抱	daj	扌勹巳
挣	dad	扌⺈彐丨
掏	dao	扌勹缶
掐	dab	扌⺈臼
拘	daju	扌句
拇	dam	扌母
掬	daoj	扌勹米
挂	dbb	扌土土
搜	dbl	扌臼丨又
抽	dbc	扌由
捕	dbbu	扌甫
搏	dbd	扌甫寸
摞	dbu	扌田糸
拮	dbk	扌士口
撂	dbf	扌田夂口
撷	dbkc	扌士口页
顶	dcd	丁页
录	dcl	彐氺
寸	dcu	寸
剥	dcz	彐氺刂
隶	dcli	彐氺
逮	dcld	彐氺辶
逯	dcll	彐氺辶
撄	dcc	扌贝贝女
拶	dcm	扌巛夕
攮	dck	扌吅
打	ddd	扌丁
丁	ddi	丁
寻	ddx	彐寸
扫	dds	扌彐
挝	ddl	扌寸辶
捃	ddm	扌彐丿口
推	det	扌隹
排	dep	扌非
抓	dez	扌爪
授	deu	扌爫冖又
拜	depb	龵三十
扶	def	扌夫
摇	deo	扌爫缶
捡	dei	扌亼
携	del	扌隹乃
捧	dewl	扌二丨
援	dew	扌爫二夂
撩	deii	扌大丷小
拾	dek	扌亼口
掩	den	扌大电
拎	dej	扌亽龴
揍	dee	扌天
捣	deid	扌山
挟	deix	扌夫丷
捻	deoj	扌亽乙心
挞	delt	扌大辶
捋	ded	扌爫寸
撵	deeg	扌夫夫车
捺	dev	扌大示
挎	dewo	扌大二乙
揄	dem	扌亼月刂
掎	dedk	扌大丁口
掭	dejt	扌天
搿	dekd	龵亼口手
择	dfw	扌又二丨
摊	dfe	扌又隹
拓	dft	扌石
搔	dfv	扌又丶虫
掇	dff	扌又又又
搡	dffx	扌又又木
拉	dgl	扌立
接	dga	扌立女
撞	dgn	扌立日土
搬	dgo	扌舟几又
扯	dgc	扌止
撤	dgm	扌月攵
捉	dgz	扌足
揆	dge	扌癶天
掊	dgk	扌立口
揞	dgna	扌立日
揞	dgny	扌立日
据	dhm	扌尸古
挑	dhc	扌儿
振	dhwy	扌厂二
握	dhq	扌尸一土
扩	dhk	扌广
扰	dhv	扌尢丶
抚	dhf	扌无
掘	dhr	扌尸屮凵
扳	dhfb	扌⺁又
拯	dhcq	扌了一
拷	dhqo	扌耂一乙
撅	dhs	扌厂屰欠
掂	dhvk	扌广⺊口
扼	dhj	扌厂㔾
搪	dhd	扌广彐口
摒	dhi	扌尸丷开
摭	dhrv	扌广廿灬
搌	dhry	扌尸龷
搋	dhw	扌⺁虍几
捱	dhb	扌厂土土
擗	dhkp	扌尸口十
控	dio	扌穴工
拼	dir	扌丷开
撑	didc	扌尚手
拌	diw	扌丷二丨
挡	did	扌彐
抄	dic	扌少
扒	dib	扌八
拒	dii	扌匚
扮	diz	扌八刀
肃	diis	彐小
搅	diu	扌⺍冖儿
拦	die	扌丷三
抠	dirk	扌匚乂
掰	dizd	龵八刀手
掷	diei	扌丷天阝
摧	diec	扌山隹
揣	dit	扌山而
捎	dim	扌月
掸	diod	扌丷
抉	dis	扌人
撺	dik	扌穴口中
撙	diy	扌丷西寸
揠	din	扌匚日女
搛	diq	扌丷一
扒	dip	扌八
看	djka	龵目
报	djf	扌卩又
即	djj	彐卩
摄	djff	扌耳又又
既	djih	彐匚儿
暨	djin	彐匚旦
抬	djk	扌厶口
挨	djt	扌厶矢
揽	djth	扌儿
捅	djo	扌龴用
撰	djji	扌巳巳八
掺	dje	扌厶大彡
擤	djb	扌自田
攫	djjf	扌目目又
揶	dji	扌耳阝
彐	dji	彐
拚	djr	扌厶廾
拍	dkp	扌白
歌	dkd	丁口丁欠
哥	dkdk	丁口丁口
损	dkc	扌口贝
操	dkx	扌品木
扣	dkk	扌口
拐	dko	扌口力
捐	dkm	扌口月
捆	dkxk	扌囗木
摁	dke	扌囗大心
揖	dkj	扌口耳
捌	dkoz	扌口力刂
掼	dkpc	扌囗十贝
挹	dkw	扌口巴
掴	dkf	扌囗王丶
捭	dkmp	扌白丿十
过	dlg	寸辶
插	dlb	扌千臼
扔	dlr	扌乃
括	dlk	扌舌
捶	dlrw	扌千艹二
迂	dly	于辶
扦	dlq	扌千
肀	dlyu	彐丨
才	dmc	丿
挺	dmb	扌丿士廴
群	dmkw	彐丿口羊
托	dmu	扌丿七
君	dmk	彐丿口
郡	dmki	彐丿口阝
尹	dmy	彐丿
挢	dme	扌丿大
提	dng	扌旦龰
担	dnd	扌旦
抖	dnp	扌⺀十
捏	dnb	扌日土
揭	dna	扌日勹乙
抑	dnyi	扌卬
押	dny	扌甲
拽	dno	扌日乙丿
撮	dnj	扌日耳又
擂	dnbl	扌⻗田
捍	dnx	扌日干
抻	dnc	扌申
攉	dne	扌⻗隹
投	dof	扌几又
势	dovo	扌九丶力
摆	dobj	扌罒土厶
扎	doz	扌乙
拟	dovs	扌乙丶人
执	dov	扌九丶
扬	dom	扌乙丿丿
拥	doy	扌用
抛	doo	扌九力
撕	dox	扌其斤
垫	dovb	扌九丶土
扭	dob	扌乙土
扛	dok	扌工
搂	doa	扌米女
挚	dovd	扌九丶手
蛰	dove	扌九丶虫
盂	doyu	于皿
撖	doj	扌乙耳攵
贽	dovc	扌九丶贝
擞	doaf	扌米女攵
鸷	dove	扌九丶鸟
擐	doq	扌罒一
絷	dovu	扌九丶糸
扛	dog	扌工
按	dpa	扌宀女
搞	dpg	扌高
技	dpf	扌十又
护	dph	扌户
擦	dpm	扌宀示
拧	dpd	扌宀丁
搁	dpfk	扌门夂口
擀	dpn	扌十早干
掠	dpi	扌小
扪	dpme	扌门
摈	dpii	扌宀丘八
掮	dpmq	扌户月
捩	dpw	扌户犬
揎	dpwn	扌宀二日
捷	dqd	扌一彐龰
撸	dqn	扌鱼日
搭	dre	扌艹亼口
撒	drm	扌龷月攵
摸	drne	扌艹日大
捞	dru	扌艹冖力
措	drn	扌龷日
描	drb	扌艹田
拱	dri	扌龷八
拙	driz	扌屮凵
搽	drs	扌艹人朩
揲	dro	扌廿乙木
手	dsh	手
抢	dsj	扌人㔾
挫	dss	扌人人土
擒	dsjw	扌人㐫禸
拴	dsf	扌人王
抿	dsm	扌民
抡	dsu	扌人匕
拊	dsd	扌亻寸
搠	dsms	扌屰月
扌	dsho	扌
播	dti	扌禾丷田
拖	dtl	扌也
捂	dtk	扌五口
揪	dtv	扌禾火
攥	dtj	扌目糸
指	dun	扌匕日
批	duu	扌匕匕
探	dui	扌冖八木
拔	dub	扌犮
挥	dug	扌冖车
拨	dubo	扌发
披	dup	扌皮
拣	duoi	扌乙八
撬	duuu	扌毛毛毛
拭	duos	扌弋工
擢	due	扌羽隹
揩	duuk	扌匕匕白
拗	duo	扌幺力
帚	duy	彐冖巾
摺	duk	扌羽白
掉	dvn	扌⺊早
灵	dvl	彐火
扑	dvp	扌卜
拈	dvk	扌⺊口
拄	dvf	扌丶王
把	dwb	扌巴
建	dwll	彐二丨廴
攒	dwh	扌⺧儿贝
搓	dwo	扌工
挽	dww	扌免
拢	dwl	扌龙
搀	dwn	扌免⺀
聿	dwly	彐二丨
掳	dwol	扌虍力
抟	dwov	扌二乙丶
掾	dwwy	扌彑
摅	dwj	扌虍心
折	dxz	扌斤
拆	dxv	扌斤丶
抹	dxm	扌末
哲	dxk	扌斤口
逝	dxl	扌斤辶
掀	dxa	扌斤欠
誓	dxls	扌斤言
蜇	dxe	扌斤虫
抨	dxi	扌干丷
揸	dxn	扌木旦
踅	dxg	扌斤足
抹	dxma	扌末
折	dxs	扌斤
退	dyl	彐辶
抗	dyo	扌亠几
挤	dyr	扌亠乂
抵	dyv	扌氏丶
摘	dyi	扌亠丷古
摔	dyu	扌亠幺十
擅	dyk	扌亠回旦
撇	dyf	扌㡀攵
艮	dyg	彐
垦	dyb	彐土
掖	dys	扌亠亻丶
恳	dyj	彐心
攘	dykr	扌衣吅
搐	dyub	扌亠幺田
找	dzz	扌戈
招	dzk	扌刀口
揉	dzx	扌矛木
挪	dzi	扌阝
挠	dzh	扌⺎
拂	dzif	扌弓
撼	dzkj	扌戌口心
抒	dzs	扌予
揿	dza	扌钅欠
搦	dzn	扌弓冫冫
妥	eat	爫女
蟾	eah	虫⺈厂言
蜻	eam	虫龶月
蟓	eak	虫⺈口
奎	ebb	大土土
螺	ebu	虫田糸
蛙	ebbw	虫土土
奋	ebf	大田
遣	ebl	㠯辶
舀	eby	爫臼
舂	ebc	臼
蚰	ebyo	虫由
螋	eblf	虫臼丨又
贵	ecg	贝
泰	ect	氺
虫	ech	虫
遗	ecl	贝辶
夼	eck	大川
大	eda	大
奇	edk	大丁口
夺	edd	大寸
虢	edw	爫寸虍几
欹	edka	大丁口欠
剞	edkz	大丁口刂
大	edai	大
蚵	edkh	虫丁口
蚵	edkk	虫丁口
替	een	夫夫日
奏	eez	天
蛤	eek	虫亼口
蚕	eec	天虫
蚌	eel	虫三丨
蝽	eenc	虫日
辇	eeg	夫夫车
蝰	eeb	虫大土土
蛉	eej	虫亽龴
蜚	eef	非虫
蜉	eeh	虫爫子
蚨	eefu	虫夫
蛱	eei	虫夫丷
蝓	eem	虫亼月刂
螓	eet	虫禾
夫	efu	夫
蜂	efe	虫夂三丨
蛏	efb	虫又土
辈	egb	非车
螃	egy	虫方
蟑	egn	虫立早
虻	egm	虫亡
乳	eho	爫子乙
奢	ehn	大耂日
孚	ehf	爫子
蛎	ehl	虫厂万
螈	ehk	虫厂白小
蠊	ehil	虫广丷
郛	ehi	爫子阝
蜢	ehom	虫子皿
螗	ehd	虫广彐口
岛	eid	山
剑	eiz	亼刂
夹	eij	夫丷
蝉	eio	虫丷
颊	eic	夫丷页
敛	eif	亼攵
邬	eiw	乌阝
蜷	eie	虫丷夫㔾
蜕	eik	虫丷口儿
佥	eiq	亼
螳	eib	虫尚土
蛸	eim	虫月
蛳	eiqy	虫一巾
鹩	ein	大丷日鸟
郏	eii	夫丷阝
蚯	eiqi	虫丘
蚣	eijg	虫八厶
奁	eir	大匚乂
蝤	eiy	虫丷西一
夹	eig	夫丷
领	ejc	亽龴页
令	ejl	亽龴
邻	eji	亽龴阝
悲	ejb	非心
翎	eju	亽龴羽
蛹	ejo	虫龴用
蚜	ejy	虫牙
瓴	ejol	亽龴瓦
耷	ejd	大耳
螭	ejw	虫㐫禸
螅	ejj	虫自心
忝	ejt	天
蛑	ejwm	虫厶牛
蠼	ejjf	虫目目又
拿	ekd	亼口手
合	ekh	亼口
命	ekj	亼口卩
售	eks	隹口
盒	eko	亼口皿
吞	ekt	天口
鸽	eke	亼口鸟
蝇	ekn	虫口电
颌	ekc	亼口页
蜈	ekew	虫口天
蜗	ekus	虫口冂人
蝗	ekf	虫白王
龛	ekw	亼口龙
蜱	ekm	虫白丿十
歙	ekua	亼口羽欠
蛔	ekhu	虫回
翕	eku	亼口羽
蛐	ekr	虫囗艹
蝈	ekfv	虫囗王丶
龠	ekk	亼口口艹
合	ekg	亼口
达	eld	大辶
丰	elf	三丨
慧	ele	三丨三心
艳	ela	三丨⺈巴
契	elz	三丨刀大
隽	elj	隹乃
蚶	elh	虫甘
彗	eled	三丨三彐
挈	elzd	三丨刀手
雠	elec	隹讠隹
蛞	elk	虫舌
砉	elfh	三丨石
恝	elzj	三丨刀心
邦	emi	三丿阝
舒	emz	亼古予
舍	ems	亼古
寿	emd	三丿寸
逾	emzl	亼月刂辶
愈	emzj	亼月刂心
俞	emzy	亼月刂
蛛	emx	虫丿未
蛾	emdz	虫丿扌戈
蝴	emm	虫古月
焘	emdv	三丿寸灬
蜓	emb	虫丿士廴
蛄	emg	虫古
蜒	emgl	虫丿廴
觎	emzh	亼月刂儿
毹	emzu	亼月刂毛
春	enc	日
鸟	eni	鸟
蠢	ene	日虫虫
蝎	ena	虫日勹乙
蠕	ent	虫⻗而
奄	eny	大电
鹌	enea	大电鸟
蜴	enyy	虫日勿
蚪	enp	虫⺀十
蜾	enx	虫日木
含	eok	亽乙口
念	eoj	亽乙心
遥	eol	爫缶辶
虹	eoh	虫工
贪	eoc	亽乙贝
爵	eod	爫罒彐寸
夯	eoha	大力
蛊	eog	虫皿
虬	eoq	虫乙
鹞	eoe	爫缶鸟
繇	eou	爫缶系
颔	eokc	亽乙口页
凫	eof	几
衾	eoy	亽乙衣
蝼	eoa	虫米女
蜞	eoqi	虫其
虮	eoji	虫几
蟛	eoup	虫壴彡
虹	eoji	虫工
蛇	epu	虫宀匕
奔	epr	大十廾
隼	eps	隹十
蜿	epm	虫宀夕㔾
蝙	epur	虫户冂艹
鸵	eput	鸟宀匕
蝻	epux	虫十冂干
蝠	eqk	虫一口田
韭	eqj	非一
蛭	eqjb	虫一厶土
爽	err	大乂乂乂
蝶	ero	虫廿乙木
蜡	ern	虫龷日
蟒	erw	虫艹犬廾
螨	erwm	虫艹两
蟆	erne	虫艹日大
鹱	ere	鸟艹隹又
蝾	erux	虫艹冖木
蠓	eru	虫艹冖
蠖	eref	虫艹隹又
蟥	erb	虫龷由八
螬	ernn	虫艹日日
蠛	erov	虫艹罒丶
三	esa	三
蚧	esi	虫人
蜍	esd	虫人于八
秦	etq	禾
蟠	eti	虫禾丷田
蛆	etqu	虫且
蜘	etk	虫矢口
蝮	etn	虫日夂
蜊	etz	虫禾刂
蚱	etl	虫丨二
蝌	etnp	虫禾⺀十
蟋	etij	虫禾丷心
虼	eto	虫乙
受	euf	爫冖又
规	euh	夫冂儿
套	eut	大镸
牵	euw	大冖牛
舜	eum	爫冖夕㐄
觅	euhm	爫冂儿
翡	eufe	非羽
蚝	euha	虫毛
奚	eue	爫幺大
蚬	euhx	虫冂儿
螟	eun	虫冖日六
蚴	euo	虫幺力
蚺	eub	虫冂土
蚋	eus	虫冂人
蜩	eubk	虫⺆土口
蚍	euu	虫匕匕
蟪	euj	虫心
太	evt	大丶
虾	evx	虫下
态	evj	大丶心
奈	evn	大示
焦	evji	隹灬
蚁	evr	虫丶乂
蛀	evf	虫丶王
螂	evd	虫丶彐阝
鹪	eve	隹灬鸟
劁	evz	隹灬刂
乌	ewu	乌
爬	ewp	爪巴
奉	ewl	二丨
夸	ewo	大二乙
蚂	ewm	虫马
爰	ewf	爫二夂
蟮	ewi	虫羊丷口
匏	ewoj	大二乙巳
瓠	ewoo	大二乙瓜
蛘	ewy	虫羊
刳	ewoz	大二乙刂
蜣	ewoq	虫乙
集	exj	隹木
采	exc	爫木
彩	exu	爫木彡
蜥	exx	虫木斤
枭	exxi	木
蚊	eyr	虫亠乂
裴	eyp	非衣
斐	eyrf	非亠乂
蛟	eyrj	虫六乂
袅	eyn	衣
蟀	eyu	虫亠幺十
蛴	eyri	虫亠乂
蝣	eyt	虫方子
螵	eyv	虫覀示
爪	ezh	爪
夷	ezy	大弓
蚓	ezl	虫弓丨
隹	ezhu	隹
蛲	ezhn	虫⺎
蜮	ezk	虫戈口一
确	fao	石⺈用
欢	fah	又欠
砍	fak	石欠
玖	fav	王丶
碛	fac	石龶贝
碡	faa	石龶母
圣	fbs	又土
硅	fbb	石土土
磕	fbjo	石土厶皿
惫	fbjb	夂田心
珐	fbjf	王土厶
砝	fbj	石土厶
硕	fcs	石页
泵	fcb	石水
瑙	fck	王巛乂
顼	fcx	王页
璎	fcc	王贝贝女
磲	fci	石氵匚木
对	fdd	又寸
艰	fdy	又彐
珂	fdk	王丁口
怼	fdj	又寸心
碌	fdc	石彐氺
石	fda	石
玎	fddi	王丁
难	fen	又隹
鸡	feji	又鸟
玲	fej	王亽龴
逢	fel	夂三丨辶
瑶	feo	王爫缶
琦	fed	王大丁口
瑜	fem	王亼月刂
礁	fev	石隹灬
硖	feix	石夫丷
瑗	few	王爫二夂
碓	fedu	石隹
瑷	feu	王爫冖又
礓	feb	石三田田
硷	fei	石亼
双	ffs	又又
友	ffy	又
桑	fffx	又又又木
琴	ffe	王王亽乙
瑟	ffj	王王必
磊	fff	石石石
叠	ffft	又又又且
玫	ffm	王攵
珞	ffk	王夂口
琶	ffw	王王巴
珏	ffv	王王丶
琵	ffu	王王匕匕
硌	ffkg	石夂口
颡	fffc	又又又页
磉	fffx	石又又木
硫	fgc	石
磅	fgy	石方
璐	fgf	王夂口
琉	fgcl	王
璋	fgn	王立早
琏	fgl	王车辶
珩	fgg	王彳亍
碲	fgyd	石巾
碚	fgk	石立口
逄	fglp	夂㐄辶
砗	fgch	石车
磴	fgo	石癶豆
砬	fgla	石立
矿	fhk	石广
碾	fhr	石尸龷
砺	fhl	石厂万
瑭	fhd	王广彐口
琚	fhm	王尸古
珧	fhc	王儿
班	fif	王王
环	fih	王不
瑞	fit	王山而
邓	fid	又阝
碳	fifv	石山火
碰	fir	石丷亚
砸	fiy	石匚巾
砂	fis	石少
磁	fiq	石丷一幺
硝	fim	石月
琐	fic	王贝
瑕	fil	王丨又
璀	fie	王山隹
玢	fiz	王八刀
面	fjm	丆囬
夏	fjf	丆目夂
雄	fje	厶隹
璃	fjw	王㐫禸
戛	fjz	丆目戈
珥	fjer	王耳
琊	fji	王牙阝
碜	fjeu	石厶大彡
砑	fjy	石牙
各	fkg	夂口
球	fkq	王求
右	fky	口
碧	fkf	王白石
碑	fkmp	石白丿十
珀	fkp	王白
瑰	fkh	王白儿厶
噩	fkk	吅吅
雒	fke	夂口隹
璁	fkm	王夕心
硇	fkr	石乂
在	flb	丨土
存	flh	丨子
有	fmy	月
珠	fmx	王丿未
郁	fmi	月阝
硼	fmm	石月月
瑚	fmmh	王古月
砭	fml	石丿之
硪	fmd	石丿扌戈
磔	fmg	石夕㐄木
矽	fmxi	石夕
理	fnb	王日土
冬	fnd	夂⺀
碍	fnda	石旦寸
琨	fnu	王日匕匕
砷	fns	石申
瑁	fnj	王曰目
碣	fna	石日勹乙
螽	fne	夂⺀虫虫
务	fow	夂力
左	foz	工
劝	foq	又力
琪	foqi	王其
磷	fom	石米夕㐄
矶	foj	石几
珈	fok	王力口
矾	fov	石几丶
玑	foji	王几
砀	fomm	石乙丿丿
砜	for	石几乂
碗	fpm	石宀夕㔾
琼	fpi	王小
琮	fpv	王宀示
碇	fpq	石宀一龰
琬	fpmj	王宀夕㔾
砣	fput	石宀匕
礅	fph	石子攵
碥	fpur	石户冂艹
碹	fpw	石宀二日
攵	fpu	攵
硬	fqn	石一日乂
研	fry	石开
弄	frn	王廾
碟	fro	石廿乙木
础	fri	石屮凵
瑛	fru	王艹冂大
璞	frw	王业丶
璜	frbi	王龷由八
珙	frig	王龷八
礴	frc	石艹氵寸
砹	frr	石艹乂
硎	frz	石开刂
硭	frg	石艹亡
砘	frd	石屯
礞	fruw	石艹冖
磺	frb	石龷由八
弄	frl	王廾
礤	frm	石艹示
石	fsh	石
珍	fsu	王人彡
珉	fsm	王民
砼	fso	石人工
玳	fsud	王亻弋
砟	ftl	石丨二
观	fuh	又冂儿
破	fup	石皮
珊	fuuq	王⺆⺆一
玻	fub	王皮
碘	fur	石冂龷八
瑾	fuj	王堇
琛	fui	王冖八木
砌	fuz	石七刀
砚	fuhy	石冂儿
砾	fuil	石小
珲	fug	王冖车
碉	fubk	石⺆土口
硐	fuq	石冂一口
砒	fuu	石匕匕
玉	fvy	王丶
灰	fvh	火
叉	fvc	又丶
丈	fzh	丈
琅	fvd	王丶彐
琰	fvv	王火火
盔	fvo	火皿
咎	fvk	夂卜口
璨	fvm	王⺊夕米
蚤	fve	又丶虫
砧	fvkz	石⺊口
昝	fvn	夂卜日
玷	fvkd	王⺊口
王	fwa	王
玩	fwh	王二儿
码	fwm	石马
玛	fwma	王马
砖	fwov	石二乙丶
玮	fwol	王二乙丨
琢	fwv	王豕丶
珑	fwl	王龙
琥	fwo	王虍几
瓒	fwhc	王⺧儿贝
磋	fwoc	石工
璩	fww	王虍豕
条	fxt	夂朩
琳	fxx	王木木
砰	fxi	石干丷
碴	fxn	石木旦
斫	fxz	石斤
矸	fxg	石干
又	fyo	又
布	fyb	巾
碎	fys	石亠人十
斑	fyr	王亠乂王
璇	fyt	王方龰
硒	fyx	石西
玟	fyrw	王亠乂
砥	fyv	石氏丶
磙	fyi	石衣八厶
戏	fzx	又戈
碱	fzk	石戌口
硗	fzhq	石⺎
夂	fzhi	夂
夂	fzho	夂
砩	fzi	石弓
跑	gaj	勹巳
软	gar	车欠
趋	gad	走⺈彐
跪	gah	⺈厂㔾
靖	gam	立龶月
妄	gaw	亡女
妾	gaq	立女
徇	gan	彳勹日
趵	gav	勹丶
街	gbb	彳土土亍
待	gbd	彳土寸
轴	gbz	车由
辅	gbf	车甫
艘	gbl	舟臼丨又
辕	gbk	车土口
跬	gbbk	土土
舳	gbzh	舟由
车	gch	车
轻	gco	车ス工
踏	gcn	水日
径	gcoj	彳ス工
衍	gcg	彳氵亍
颏	gck	亥页
辎	gcb	车巛田
亍	gchu	亍
愆	gcgj	彳氵亍心
彳	gchi	彳
躐	gcw	巛
跟	gdy	彐
律	gdw	彳彐二丨
轲	gdkk	车丁口
舸	gdk	舟丁口
踺	gdwl	彐二廴
输	gem	车亼月刂
跨	gew	大二乙
踩	gex	爫木
蹈	geb	爫臼
癸	geg	癶天
徘	gep	彳非
蹊	geu	爫幺大
趺	gef	夫
徭	geo	彳爫缶
踌	gemd	三丿寸
辏	gee	车天
路	gfk	夂口
飞	gfe	飞
辣	gfx	立木口
轰	gff	车又又
辩	gfl	立讠十
辨	gfi	立十
瓣	gfo	立瓜十
鹭	gfke	夂口鸟
辫	gfu	立纟十
辍	gfff	车又又又
跖	gfz	石
辂	gfkl	车夂口
行	ggx	彳亍
行	ggh	彳亍
徒	ggt	彳走
蹄	ggy	巾
蹬	ggo	癶豆
趾	ggz	止
徙	ggg	彳止龰
辙	ggm	车月攵
艟	ggn	舟立日土
踣	ggk	立口
行	gghe	彳亍
跳	ghc	儿
循	ghp	彳⺁十目
亥	gha	亥
辗	ghr	车尸龷
艋	gho	舟子皿
踞	ghm	尸古
踮	ghv	广⺊口
艉	ghu	舟尸毛
踱	ghrf	广廿又
蹶	ghs	厂屰欠
轭	ghj	车厂㔾
躔	ghn	广日土
蹰	ghod	厂豆寸
踬	ghpc	⺁十贝
舨	ghf	舟⺁又
微	giq	彳山一攵
步	gib	止
端	gitd	立山而
距	gii	匚
频	gic	止页
趟	git	走尚
徽	giu	彳山系攵
蹲	giy	丷西寸
趴	gip	八
蹭	giv	丷日
蹦	gim	山月月
踹	gitc	山而
蹿	gik	穴口中
徵	giqf	彳山一攵
颦	gicp	止页十
徜	gich	彳尚
舢	gis	舟山
邙	gima	亡阝
艄	gims	舟月
踯	gie	丷天阝
墼	gio	車凵几土
起	gjq	走己
忘	gjw	亡心
趣	gjf	走耳又
盲	gjm	亡目
竣	gji	立厶八夂
衢	gjjg	彳目目亍
辄	gjoz	车耳乙
踊	gjo	龴用
艏	gjs	舟首
跆	gjk	厶口
蹑	gjff	耳又又
